labels_key,labels_value,sku_description,cost,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
